Boy81	82	31	6	16647.0	K
Boy82	37	5	10	42915.0	G
Boy83	93	18	10	79651.0	M
Boy84	87	25	8	94201.0	G
Boy85	43	4	10	85628.0	G
Boy86	42	3	10	18340.0	K
Boy87	69	35	5	79734.0	M
Boy88	33	11	9	57357.0	K
Boy89	68	26	7	32469.0	K
Boy90	96	13	9	95671.0	M
Boy91	91	45	10	32987.0	M
Boy92	80	8	1	40985.0	G
Boy93	58	18	10	37829.0	M
Boy94	39	15	8	57150.0	K
Boy95	18	17	2	83484.0	G
Boy96	37	36	7	33680.0	G
Boy97	29	32	4	36576.0	G
Boy98	77	21	9	73227.0	K
Boy99	18	8	1	81176.0	M
Boy100	48	21	6	84868.0	G
Boy101	22	7	10	96988.0	G
Boy102	26	20	7	15138.0	M
Boy103	34	38	3	35148.0	M
Boy104	54	28	6	93469.0	K
Boy105	10	44	8	91810.0	M
Boy106	63	40	3	57051.0	K
Boy107	98	36	9	98891.0	M
Boy108	25	9	1	50321.0	G
Boy109	96	4	8	30556.0	K
Boy110	93	39	8	27341.0	M
Boy111	2	40	8	44632.0	M
Boy112	6	11	10	83738.0	M
Boy113	94	16	1	96694.0	G
Boy114	17	16	6	66469.0	K
Boy115	51	24	2	15735.0	G
Boy116	68	23	8	99300.0	M
Boy117	58	41	4	89310.0	K
Boy118	44	13	9	64958.0	K
Boy119	75	26	1	50096.0	G
Boy120	93	4	10	80349.0	K
Boy121	99	32	5	56340.0	G
Boy122	87	7	6	22567.0	G
Boy123	84	48	8	36269.0	G
Boy124	11	39	7	66580.0	G
Boy125	100	9	1	19066.0	M
Boy126	43	34	5	29649.0	G
Boy127	95	1	1	34647.0	K
Boy128	35	20	5	67034.0	G
Boy129	43	31	6	12901.0	M
Boy130	89	21	7	51758.0	G
Boy131	65	43	3	16461.0	G
Boy132	24	32	9	60357.0	G
Boy133	98	10	10	49115.0	K
Boy134	45	6	10	56020.0	M
Boy135	48	8	7	62558.0	K
Boy136	39	12	4	59032.0	G
Boy137	36	34	5	72932.0	M
Boy138	18	30	5	81128.0	M
Boy139	89	24	6	77947.0	K
Boy140	31	6	3	61757.0	M
Boy141	87	35	1	63034.0	M
Boy142	74	45	7	42548.0	G
Boy143	66	49	5	50502.0	M
Boy144	89	34	2	84604.0	G
Boy145	17	18	2	28569.0	G
Boy146	93	34	6	94675.0	M
Boy147	12	44	7	21142.0	K
Boy148	31	35	7	99009.0	M
Boy149	34	44	7	58721.0	M
Boy150	54	15	4	28240.0	M
Boy151	20	23	5	90050.0	G
Boy152	23	12	7	63227.0	M
Boy153	27	11	8	36463.0	M
Boy154	42	28	6	31675.0	K
Boy155	1	43	4	41650.0	G
Boy156	12	41	10	82552.0	G
Boy157	84	26	2	22424.0	K
Boy158	38	45	4	14404.0	K
Boy159	78	6	1	75889.0	M
Boy160	35	27	3	58395.0	G
Boy161	33	50	8	85759.0	M
Boy162	89	25	4	55166.0	M
Boy163	15	39	2	74318.0	M
Boy164	14	27	9	51495.0	G
Boy165	23	11	1	64618.0	G
Boy166	53	31	3	16062.0	G
Boy167	52	8	9	11383.0	G
Boy168	58	48	10	90913.0	G
Boy169	30	37	9	82770.0	G
Boy170	72	6	7	61146.0	G
Boy171	67	40	8	54989.0	G
Boy172	67	4	1	74930.0	G
Boy173	23	16	9	83377.0	G
Boy174	76	40	7	25019.0	K
Boy175	16	7	6	72580.0	G
Boy176	29	32	4	39876.0	G
Boy177	18	41	5	79938.0	M
Boy178	84	27	7	78172.0	K
Boy179	55	5	1	21537.0	M
Boy180	83	48	4	60353.0	K
Boy181	95	35	3	55605.0	M
Boy182	67	24	4	89434.0	M
Boy183	91	6	10	87514.0	M
Boy184	3	11	5	29031.0	M
Boy185	44	33	4	25016.0	K
Boy186	44	8	2	12371.0	M
Boy187	72	10	7	14282.0	G
Boy188	39	4	8	27191.0	G
Boy189	72	15	1	73056.0	K
Boy190	1	50	4	96055.0	G
Boy191	40	36	2	99147.0	M
Boy192	76	14	9	33650.0	G
Boy193	96	34	4	13422.0	M
Boy194	68	31	9	58794.0	K
Boy195	24	27	5	43690.0	M
Boy196	85	22	1	34139.0	M
Boy197	16	2	9	23291.0	M
Boy198	28	26	10	88400.0	G
Boy199	70	19	6	21799.0	G
Boy200	27	10	3	17801.0	G
Boy201	5	1	5	82462.0	M
Boy202	10	21	5	54640.0	M
Boy203	43	30	2	30899.0	G
Boy204	56	20	2	69986.0	M
Boy205	35	31	2	40561.0	G
Boy206	44	28	1	60627.0	M
Boy207	66	4	2	53585.0	G
Boy208	67	31	6	65073.0	M
Boy209	7	29	8	96784.0	G
Boy210	79	1	9	32882.0	K
Boy211	77	18	9	43510.0	K
Boy212	69	26	4	64930.0	M
Boy213	5	29	10	76138.0	K
Boy214	35	22	3	37596.0	G
Boy215	65	13	7	85002.0	K
Boy216	12	25	7	48130.0	K
Boy217	5	32	3	70879.0	M
Boy218	62	27	5	73391.0	M
Boy219	33	17	1	99557.0	G
Boy220	47	8	6	97552.0	K
Boy221	32	30	3	88432.0	G
Boy222	32	20	1	91898.0	M
Boy223	9	27	10	32483.0	G
Boy224	3	30	9	91119.0	K
Boy225	35	27	7	42755.0	K
Boy226	7	1	7	30290.0	G
Boy227	99	42	10	12961.0	K
Boy228	33	43	2	11538.0	M
Boy229	70	26	1	65869.0	G
Boy230	14	43	1	94490.0	G
Boy231	60	49	10	45934.0	M
Boy232	29	29	1	81230.0	M
Boy233	97	32	3	71719.0	G
Boy234	52	18	4	37978.0	G
Boy235	46	10	1	34140.0	K
Boy236	15	45	8	52108.0	K
Boy237	88	24	5	24938.0	G
Boy238	97	34	4	37210.0	G
Boy239	10	40	7	82205.0	M
Boy240	23	17	6	96997.0	K
Boy241	61	10	6	49859.0	M
Boy242	42	45	6	11780.0	M
Boy243	65	3	10	95622.0	K
Boy244	29	27	4	21462.0	M
Boy245	63	44	4	86336.0	G
Boy246	52	33	2	71046.0	K
Boy247	30	7	8	24960.0	K
Boy248	27	17	4	45098.0	G
Boy249	55	12	1	12930.0	M
Boy250	80	1	8	65855.0	K
